merchant_id,mmd2,n_W1,n_W2
51154,0.8739397887154816,5,17
28132,0.8739300097501238,3,180
2020557,0.8564754900176896,3,53
35060,0.833974249280933,5,29
39336,0.8302252891130549,4,19
48323,0.7812005662901471,7,66
2576289,0.7768763253388593,3,22
46813,0.7762135400969036,3,22
61309,0.7658696544819866,3,52
23543,0.7650035950684537,7,58
69244,0.7634962703870507,5,23
1307,0.7633543418641915,4,141
86290,0.7362707996784896,8,115
82622,0.7207524828110996,4,24
597183,0.693629502819582,4,22
3037755,0.6916013749436463,3,34
71086,0.6892865223647916,3,26
26247,0.6880084031885699,3,24
41832,0.6878392490647824,6,33
31924,0.6765203463853405,3,48
58889,0.6686350515825423,3,72
62430,0.6588029450261772,3,103
33098,0.647897217730877,3,55
35923,0.6382610126273758,5,48
89403,0.6381038048892926,7,33
24697,0.6366032245315596,9,57
46888,0.6315968705642838,15,21
9615,0.6289242570330097,11,61
71919,0.6288058092979674,4,29
55679,0.6138105210070933,8,56
28267,0.612647874371212,3,33
72469,0.6106847989071315,6,31
69092,0.6004797243489635,6,39
11658,0.5988190494162058,7,96
25566,0.5908963229146162,3,40
73014,0.5864582768271748,5,49
21784,0.5678527601468206,4,23
12611,0.5629648575085814,7,45
27329,0.5618893940525318,6,41
24372,0.5575972287347141,10,637
43114,0.5559475946497099,8,15
14864,0.5548110623953717,4,248
56740,0.5534733818581778,7,96
14569,0.5534685448898127,5,42
36979,0.5502150752914603,7,19
69316,0.547826481872856,4,20
61050,0.5401455913936241,7,57
66595,0.5400046953033001,14,12
87088,0.5389613025343896,6,49
83555,0.536474536316036,4,28
31650,0.5322292743794103,5,43
33323,0.5307784179911585,7,73
47205,0.5302530273831139,7,239
79684,0.5212945295403401,3,51
33996,0.5183392097829678,4,23
21783,0.5168373624612265,11,228
86389,0.5150295095252341,7,17
16927,0.5127487745882042,7,119
34980,0.5101728146517411,14,229
33757,0.5096500901634323,5,41
19258,0.5067741329085702,9,24
32487,0.5038899967161397,3,32
42156,0.5015989570590336,7,72
52028,0.5007816254524697,3,23
25645,0.49678987774928807,6,95
32480,0.4943625977481645,4,27
90400,0.49367121831972116,5,93
17142,0.48370846932840195,6,41
33005,0.47877665875652586,9,151
61134,0.4778950064602079,19,216
31566,0.4774737675122094,4,72
38526,0.47599499698409675,5,43
67777,0.4735366461266898,3,63
75104,0.4720764522344635,3,29
67708,0.47165005601306775,8,20
61800,0.46659596583670226,3,35
86291,0.4661813939874859,13,334
25865,0.465211898958379,13,33
53631,0.4627393946835532,4,73
65675,0.46098606220369553,4,20
72318,0.4600797664080788,47,721
87820,0.4572494153630686,7,66
85739,0.45577260237996053,3,54
63976,0.4513319487828402,9,83
43700,0.44396366540097465,3,87
51156,0.43986044917206923,3,92
62115,0.43807703838259393,3,212
81765,0.43521701035304017,8,199
798,0.4340779470356576,12,697
58634,0.42884176464031976,5,61
20521,0.4243914191617242,9,221
5509,0.42276347942491665,3,46
45070,0.42088099753496255,7,137
89775,0.4169590430695933,3,65
72320,0.41105964896172087,3,90
23148,0.40999811514435236,7,137
43783,0.3993354630407231,3,398
45236,0.39204531454189295,5,22
31343,0.38433490639046286,3,51
36827,0.3770997862196248,3,98
54332,0.36909059539263156,8,47
12189,0.35761632194852444,3,106
72547,0.3364149887805299,4,190
38615,0.3359167866886412,3,127
58548,0.3126435587403007,7,185
43385,0.3119933579193359,14,152
12894,0.29985000805756634,29,57
86545,0.2865182393931698,5,129
