feature,mean_early,mean_late,delta,abs_delta,sign
sky,0.003427527280814316,0.0072209537649744054,0.0037934264841600895,0.0037934264841600895,1
his,0.00930480209668778,0.005511940170302144,-0.0037928619263856364,0.0037928619263856364,-1
studio ghibli,0.0027019878889777524,0.0064609899946507605,0.003759002105673008,0.003759002105673008,1
ray,0.0024421183711214947,0.006130236054931401,0.0036881176838099066,0.0036881176838099066,1
angle,0.0061488132721222045,0.0025309429647798823,-0.003617870307342322,0.003617870307342322,-1
unreal engine,0.01122345498378403,0.014817511421829178,0.003594056438045147,0.003594056438045147,1
the style,0.015118129611934084,0.011580393413303289,-0.0035377361986307955,0.0035377361986307955,-1
frank,0.002933613776177305,0.006458385323414878,0.003524771547237573,0.003524771547237573,1
trending on,0.025285384826293375,0.021771685504289547,-0.0035136993220038285,0.0035136993220038285,-1
mucha,0.010023936300408256,0.01353101915885503,0.0035070828584467736,0.0035070828584467736,1
details,0.009063287964663764,0.012559832946639298,0.0034965449819755346,0.0034965449819755346,1
rendered,0.003190422777634027,0.006659540853933593,0.0034691180762995663,0.0034691180762995663,1
illumination,0.0032016125637192696,0.006621082925154392,0.0034194703614351223,0.0034194703614351223,1
alphonse mucha,0.008573556378383562,0.0119917198809346,0.0034181635025510373,0.0034181635025510373,1
alphonse,0.008573556378383562,0.0119917198809346,0.0034181635025510373,0.0034181635025510373,1
lighting,0.0246586010267285,0.02806185733597075,0.00340325630924225,0.00340325630924225,1
smooth sharp,0.00923645146658585,0.005883013977332309,-0.0033534374892535404,0.0033534374892535404,-1
on the,0.010379178883028879,0.013727480900555667,0.0033483020175267882,0.0033483020175267882,1
digital,0.028330167291457254,0.0249832028528108,-0.0033469644386464534,0.0033469644386464534,-1
close up,0.0047848787796488535,0.008131769007579366,0.003346890227930513,0.003346890227930513,1
black,0.01577399869973807,0.019100105419437435,0.003326106719699365,0.003326106719699365,1
on artstation,0.023754594516396513,0.020442689504436968,-0.003311905011959545,0.003311905011959545,-1
design,0.011388298055502542,0.008089429403665246,-0.003298868651837296,0.003298868651837296,-1
engine,0.011806376812645736,0.015100873746799628,0.0032944969341538923,0.0032944969341538923,1
japanese,0.00371463812600342,0.006977255090663219,0.003262616964659799,0.003262616964659799,1
sharp focus,0.014815391482506001,0.01807570918752493,0.0032603177050189273,0.0032603177050189273,1
made,0.008223738542332056,0.011459671822921512,0.003235933280589456,0.003235933280589456,1
cyberpunk,0.012156257723717074,0.008936812225723656,-0.0032194454979934187,0.0032194454979934187,-1
anime,0.010892477384008958,0.014096012530934201,0.003203535146925243,0.003203535146925243,1
digital painting,0.01183903271059188,0.015033410518070662,0.0031943778074787817,0.0031943778074787817,1
hyper realistic,0.004917907251748786,0.008103209432139127,0.003185302180390341,0.003185302180390341,1
dress,0.0032724658845519395,0.006409610582368237,0.003137144697816297,0.003137144697816297,1
resolution,0.00949494811294152,0.006388233388820878,-0.003106714724120642,0.003106714724120642,-1
out,0.008255659713405552,0.005231587072062303,-0.0030240726413432485,0.0030240726413432485,-1
glowing,0.004050142596397739,0.007072331570184026,0.003022188973786287,0.003022188973786287,1
forest,0.009579961792322931,0.0065619222989292385,-0.0030180394933936924,0.0030180394933936924,-1
sampler=7,0.0,0.003,0.003,0.003,1
artstation,0.03481662080482342,0.03773489944714438,0.0029182786423209567,0.0029182786423209567,1
big,0.005843305669113038,0.008728432516681768,0.0028851268475687305,0.0028851268475687305,1
style of,0.018174882706504473,0.015333373888391892,-0.0028415088181125807,0.0028415088181125807,-1
white,0.016235267994782764,0.019016586817484568,0.002781318822701804,0.002781318822701804,1
woman,0.015088988078017555,0.012334407379342792,-0.0027545806986747634,0.0027545806986747634,-1
award,0.010590585808092324,0.007848762148731585,-0.0027418236593607388,0.0027418236593607388,-1
painting by,0.010940900817838226,0.008201540501948481,-0.0027393603158897446,0.0027393603158897446,-1
character,0.011927167189036737,0.014653339222896303,0.002726172033859567,0.002726172033859567,1
art smooth,0.007107041077788911,0.004394624596540843,-0.002712416481248068,0.002712416481248068,-1
ultra detailed,0.003721087406842658,0.006431235379022004,0.002710147972179346,0.002710147972179346,1
sharp,0.018342866323984547,0.021015528568814546,0.0026726622448299993,0.0026726622448299993,1
matte painting,0.008568090890066084,0.005904827511961161,-0.002663263378104923,0.002663263378104923,-1
still,0.01041866171343419,0.013074444433479788,0.0026557827200455984,0.0026557827200455984,1
beeple,0.005081701005623585,0.007729842956482647,0.002648141950859062,0.002648141950859062,1
illustration,0.019264645043625597,0.021893815866843302,0.002629170823217706,0.002629170823217706,1
realism,0.00435426469563491,0.006976640985929808,0.0026223762902948984,0.0026223762902948984,1
film,0.009390795923828486,0.0067773908013386884,-0.002613405122489798,0.002613405122489798,-1
photo of,0.01124680868360499,0.01385962139443457,0.00261281271082958,0.00261281271082958,1
craig,0.003944670165121299,0.006518048180880176,0.0025733780157588763,0.0025733780157588763,1
van,0.00517182695841957,0.007702460148167116,0.002530633189747546,0.002530633189747546,1
illustration art,0.0063235473525930395,0.003835823670818784,-0.0024877236817742554,0.0024877236817742554,-1
global,0.003220445437508911,0.005705150167838117,0.0024847047303292054,0.0024847047303292054,1
cinematic lighting,0.009213069753858898,0.006808940359472192,-0.002404129394386706,0.002404129394386706,-1
photograph,0.010171862096118907,0.01256161669426922,0.002389754598150313,0.002389754598150313,1
full,0.015574763034597528,0.01319643920871094,-0.002378323825886588,0.002378323825886588,-1
award winning,0.01003965374045436,0.007694867227540584,-0.0023447865129137763,0.0023447865129137763,-1
cat,0.010576780821206342,0.00824306836056419,-0.002333712460642151,0.002333712460642151,-1
body,0.011958379601011131,0.009628108246981553,-0.0023302713540295783,0.0023302713540295783,-1
giger,0.004040320723461224,0.006357365384279666,0.0023170446608184415,0.0023170446608184415,1
like,0.0046628011856545476,0.006937914392049283,0.002275113206394735,0.002275113206394735,1
global illumination,0.003239857874427257,0.005443709242133729,0.0022038513677064718,0.0022038513677064718,1
peter,0.008076082215241812,0.010272650459950728,0.0021965682447089158,0.0021965682447089158,1
ornate,0.004362767768099162,0.0064972508048768435,0.002134483036777681,0.002134483036777681,1
young,0.009998762107307825,0.012115539462077132,0.002116777354769306,0.002116777354769306,1
sitting,0.00692381439738609,0.004861437291746975,-0.0020623771056391144,0.0020623771056391144,-1
her,0.006714789950988579,0.004653770736750184,-0.002061019214238395,0.002061019214238395,-1
long,0.009707913953128451,0.007657387408061551,-0.002050526545066901,0.002050526545066901,-1
soft,0.008604591924177877,0.006572092957450448,-0.0020324989667274288,0.0020324989667274288,-1
depth of,0.00349099115247997,0.005516274990519533,0.002025283838039563,0.002025283838039563,1
sampler=6,0.0,0.002,0.002,0.002,1
shot,0.010048478557854257,0.01203189725278199,0.0019834186949277324,0.0019834186949277324,1
hd,0.010746088817274903,0.012709904354698933,0.0019638155374240296,0.0019638155374240296,1
of field,0.003798747444508653,0.005734994906970279,0.0019362474624616257,0.0019362474624616257,1
artgerm,0.01388890569256672,0.015800898445989878,0.0019119927534231584,0.0019119927534231584,1
perfect,0.004149723594917725,0.006048249988203189,0.0018985263932854643,0.0018985263932854643,1
painting trending,0.002799250103940108,0.004671536452471706,0.0018722863485315985,0.0018722863485315985,1
hyperrealistic,0.009905729041325783,0.008043544812930103,-0.0018621842283956802,0.0018621842283956802,-1
poster,0.007404173647363082,0.005544239995671127,-0.001859933651691955,0.001859933651691955,-1
painting artstation,0.008229225922597505,0.006394833511218342,-0.0018343924113791632,0.0018343924113791632,-1
view,0.009687599214671381,0.00785628383454307,-0.0018313153801283108,0.0018313153801283108,-1
to,0.011425161610825066,0.009610887381999186,-0.0018142742288258795,0.0018142742288258795,-1
scene,0.005831467055630597,0.004040910452775198,-0.0017905566028553989,0.0017905566028553989,-1
giant,0.0047373319990585035,0.006519660134766014,0.0017823281357075109,0.0017823281357075109,1
color,0.013504963543215348,0.01173182237869795,-0.0017731411645173969,0.0017731411645173969,-1
smooth,0.011536264366414821,0.009817649641157358,-0.0017186147252574637,0.0017186147252574637,-1
extremely detailed,0.0050163938387865585,0.0032986820011686557,-0.0017177118376179028,0.0017177118376179028,-1
realistic,0.02206756212121093,0.0237837021668793,0.0017161400456683698,0.0017161400456683698,1
dynamic,0.0046804902512998185,0.0063770595478925265,0.001696569296592708,0.001696569296592708,1
green,0.006600571641214787,0.004911567816405558,-0.0016890038248092293,0.0016890038248092293,-1
with,0.044854782130786044,0.04318237215020105,-0.0016724099805849948,0.0016724099805849948,-1
city,0.011079977576471431,0.009429527774883494,-0.0016504498015879367,0.0016504498015879367,-1
quality,0.008392241041299722,0.010035812788864428,0.0016435717475647062,0.0016435717475647062,1
holding,0.008210041326808396,0.006587600713642121,-0.0016224406131662749,0.0016224406131662749,-1
artstation concept,0.009731677934635799,0.008109489993633298,-0.0016221879410025005,0.0016221879410025005,-1
alien,0.005793267278604602,0.007404500914188452,0.0016112336355838504,0.0016112336355838504,1
focus illustration,0.008864370852545654,0.0072591577505819885,-0.0016052131019636652,0.0016052131019636652,-1
detailed digital,0.010040231688510827,0.00845795241524906,-0.0015822792732617663,0.0015822792732617663,-1
intricate elegant,0.006433803576121398,0.004851891393150802,-0.0015819121829705957,0.0015819121829705957,-1
girl,0.013190470275384883,0.01169931776772413,-0.0014911525076607528,0.0014911525076607528,-1
room,0.006269231405147889,0.00479820327028057,-0.0014710281348673197,0.0014710281348673197,-1
symmetrical,0.009431567033962515,0.00800104471220173,-0.0014305223217607847,0.0014305223217607847,-1
winning,0.00996661308200698,0.008540499850607222,-0.0014261132313997584,0.0014261132313997584,-1
trending,0.026025003068248686,0.024680823785806813,-0.0013441792824418729,0.0013441792824418729,-1
concept,0.024177409487546875,0.02283662771190317,-0.0013407817756437047,0.0013407817756437047,-1
from,0.023533150183177615,0.022202599906668105,-0.0013305502765095095,0.0013305502765095095,-1
space,0.009996046813170935,0.008666374787711208,-0.0013296720254597268,0.0013296720254597268,-1
skin,0.0060277017611682455,0.004703935480405081,-0.0013237662807631641,0.0013237662807631641,-1
wearing,0.016352905956912363,0.01758310640079432,0.0012302004438819562,0.0012302004438819562,1
blue,0.010625452715524526,0.009400398657945305,-0.0012250540575792206,0.0012250540575792206,-1
jean,0.008447052050280707,0.009669968890855073,0.0012229168405743663,0.0012229168405743663,1
large,0.005049360710769843,0.00622777191220406,0.0011784112014342164,0.0011784112014342164,1
high,0.023046745091174832,0.021876228812469044,-0.0011705162787057875,0.0011705162787057875,-1
depth,0.004310789675251763,0.005454147122302999,0.0011433574470512357,0.0011433574470512357,1
highly detailed,0.0276127569002924,0.026477541661253004,-0.0011352152390393944,0.0011352152390393944,-1
behance,0.004748848376359495,0.005872098414836911,0.0011232500384774167,0.0011232500384774167,1
eyes,0.010272469053933388,0.01139129948992376,0.0011188304359903718,0.0011188304359903718,1
female,0.006959412905284183,0.008062109874782654,0.0011026969694984713,0.0011026969694984713,1
dramatic lighting,0.004641625869938884,0.005733467727316594,0.0010918418573777101,0.0010918418573777101,1
gothic,0.004639268463034357,0.005720789463596966,0.0010815210005626092,0.0010815210005626092,1
field,0.006155092310796632,0.007228245028666482,0.0010731527178698495,0.0010731527178698495,1
lens,0.006617000954331229,0.005555590689782788,-0.001061410264548441,0.001061410264548441,-1
ultra,0.012857340815752459,0.013891978343062631,0.0010346375273101727,0.0010346375273101727,1
photorealistic,0.01385803888943938,0.012840857303379402,-0.0010171815860599773,0.0010171815860599773,-1
tom,0.005397776971765284,0.004383827373160346,-0.0010139495986049374,0.0010139495986049374,-1
sampler=3,0.003,0.004,0.001,0.001,1
sampler=1,0.001,0.0,-0.001,0.001,-1
sampler=2,0.001,0.0,-0.001,0.001,-1
high detail,0.008155914332714665,0.0071854679231011034,-0.0009704464096135616,0.0009704464096135616,-1
standing,0.004983414777748283,0.005919167458906816,0.000935752681158533,0.000935752681158533,1
style,0.02701627989832576,0.02795189681252567,0.000935616914199907,0.000935616914199907,1
highly,0.028329683613729284,0.027399537547552696,-0.0009301460661765883,0.0009301460661765883,-1
james,0.009971049810779484,0.01089701410510331,0.0009259642943238253,0.0009259642943238253,1
for,0.006239157031872152,0.007148248932741792,0.0009090919008696401,0.0009090919008696401,1
beksinski,0.006273433194146647,0.00717744881332967,0.0009040156191830228,0.0009040156191830228,1
art sharp,0.003342373759024041,0.00424252531013142,0.000900151551107379,0.000900151551107379,1
elegant,0.01034751203948431,0.011239974926479077,0.0008924628869947677,0.0008924628869947677,1
concept art,0.020179562887953004,0.021061109549642507,0.0008815466616895022,0.0008815466616895022,1
colorful,0.008019705165019082,0.007193881505061972,-0.0008258236599571096,0.0008258236599571096,-1
oil painting,0.00873565485278052,0.009556923804678819,0.000821268951898298,0.000821268951898298,1
painting,0.03885010460523804,0.038044814845469045,-0.0008052897597689915,0.0008052897597689915,-1
peter mohrbacher,0.005424154893153139,0.006122185333095243,0.0006980304399421041,0.0006980304399421041,1
man,0.010977122384622139,0.010280470125326945,-0.0006966522592951937,0.0006966522592951937,-1
elegant highly,0.005045515407029083,0.0043789364243534655,-0.0006665789826756172,0.0006665789826756172,-1
vibrant,0.006188997810921892,0.005523336423810493,-0.000665661387111399,0.000665661387111399,-1
medieval,0.00465278275023029,0.005295704034115477,0.0006429212838851874,0.0006429212838851874,1
red,0.012476591042335854,0.013089198552979043,0.0006126075106431886,0.0006126075106431886,1
and alphonse,0.006178860550189013,0.0067694044928702755,0.0005905439426812627,0.0005905439426812627,1
futuristic,0.00758422512499158,0.008125284110675052,0.0005410589856834729,0.0005410589856834729,1
wide,0.005920099093328239,0.005442160477743121,-0.00047793861558511827,0.00047793861558511827,-1
full body,0.006607316615170626,0.006141622895898224,-0.0004656937192724017,0.0004656937192724017,-1
dramatic,0.009824146443688418,0.009363241357310292,-0.0004609050863781262,0.0004609050863781262,-1
neon,0.004313747777229413,0.0047727322222602475,0.0004589844450308342,0.0004589844450308342,1
james jean,0.005662510136783164,0.006095446551050951,0.0004329364142677877,0.0004329364142677877,1
extremely,0.006132530400557101,0.006558476928047442,0.0004259465274903413,0.0004259465274903413,1
of an,0.007839652152709747,0.007461635068788143,-0.00037801708392160363,0.00037801708392160363,-1
hdr,0.004706239020313212,0.005062761228481288,0.00035652220816807627,0.00035652220816807627,1
epic,0.012362765554210961,0.012707725015831709,0.0003449594616207474,0.0003449594616207474,1
by artgerm,0.009009061820910215,0.009319556611177808,0.0003104947902675924,0.0003104947902675924,1
rossdraws,0.004235436377165836,0.0045226853094488305,0.0002872489322829942,0.0002872489322829942,1
mohrbacher,0.006046574957806674,0.006302092640601653,0.0002555176827949788,0.0002555176827949788,1
ultra realistic,0.0063042175071871724,0.006049792437274499,-0.0002544250699126737,0.0002544250699126737,-1
hair,0.013724863592117591,0.013962660162463416,0.00023779657034582458,0.00023779657034582458,1
is,0.01316485700687053,0.013365394780151085,0.0002005377732805548,0.0002005377732805548,1
cgsociety,0.007310047938691848,0.007127727741204807,-0.00018232019748704118,0.00018232019748704118,-1
artgerm and,0.007622287862611562,0.00744093217318335,-0.0001813556894282118,0.0001813556894282118,-1
an,0.021350808983769308,0.021185542706184796,-0.00016526627758451165,0.00016526627758451165,-1
dark,0.018654775203493654,0.018494029635553088,-0.00016074556794056644,0.00016074556794056644,-1
from the,0.006081637351169861,0.006232935925671346,0.0001512985745014848,0.0001512985745014848,1
high quality,0.0060928405077182715,0.0062434837856258935,0.00015064327790762205,0.00015064327790762205,1
wlop,0.00905268025327945,0.008918252226934728,-0.00013442802634472222,0.00013442802634472222,-1
stunning,0.005905603740814143,0.006017255955084958,0.00011165221427081491,0.00011165221427081491,1
front,0.006555459271112109,0.006491124447844333,-6.433482326777609e-05,6.433482326777609e-05,-1
thomas,0.005412656482490682,0.005357729386955469,-5.4927095535213175e-05,5.4927095535213175e-05,-1
rutkowski and,0.00837946759043949,0.008326756257092165,-5.271133334732586e-05,5.271133334732586e-05,-1
sampler=5,0.001,0.001,0.0,0.0,0
