y,batch,x_bm25,x_dense,x_rrf,x_rank_sp,x_rank_de,x_q_overlap,x_title_seed,x_title_deg,x_slot
0,2,0.22507,-0.488816,-0.0128757,0.333333,0.125,0.0970874,1,0,0.8
1,2,2.66805,1.96369,1.96541,1,1,0.227273,0,0,0.9
0,2,0.109052,-0.390349,-0.0384332,0.25,0.142857,0.225,0,0,1
0,3,-0.740765,-0.52449,-0.906164,0.125,0.125,0.0909091,1,0.833333,0.1
0,3,0.440375,0.654579,0.503685,0.25,0.25,0.0652174,0,0,0.2
0,3,-0.801368,-1.93942,-1.55067,0.1,0.1,0.0851064,0,0,0.3
0,3,-0.693485,-0.168986,0.134955,0.2,0.2,0.102564,1,0.833333,0.4
0,3,0.442132,1.40729,1.28327,0.333333,1,0.0714286,1,1,0.5
1,3,1.73511,0.962292,1.08047,0.5,0.333333,0.2,1,0.166667,0.6
1,3,1.81877,1.25895,1.47962,1,0.5,0.205128,1,0.833333,0.7
0,3,-0.794499,-0.486677,-0.901285,0.111111,0.142857,0.157895,1,0.833333,0.8
0,3,-0.71202,-0.356662,-0.396042,0.142857,0.166667,0.114286,0,0,0.9
0,3,-0.694255,-0.806867,-0.727843,0.166667,0.111111,0.105263,1,0.833333,1
0,4,-0.380948,0.858136,0.178081,0.166667,0.25,0.137931,1,0,0.1
0,4,0.00870884,-1.23691,-0.221087,0.333333,0.111111,0.181818,0,0,0.2
0,4,-0.401631,1.28685,0.705095,0.142857,1,0.2,0,0.333333,0.3
1,4,0.808188,-1.0681,0.234834,0.5,0.125,0.205128,0,0,0.4
0,4,-0.839094,-0.864644,-1.14202,0.111111,0.142857,0.114286,0,0,0.5
0,4,-0.631971,0.630199,-0.488599,0.125,0.2,0.0535714,1,0,0.6
0,4,-0.0609153,-0.135857,0.178081,0.25,0.166667,0.258065,0,0,0.7
0,4,-0.897604,-1.3895,-1.96485,0.1,0.1,0.118421,1,0.166667,0.8
0,4,-0.261614,0.955824,0.645636,0.2,0.333333,0.128571,0,0.333333,0.9
1,4,2.65688,0.964005,1.87483,1,0.5,0.169492,1,0.5,1
0,5,-0.365982,-0.564699,-0.508754,0.166667,0.142857,0.116505,1,0.166667,0.1
0,5,-1.59262,-0.0198422,-0.909308,0.1,0.2,0.155172,0,0,0.2
1,5,1.55027,1.67187,2.16122,1,1,0.324324,1,0,0.3
0,5,-0.595596,0.0617603,-0.0422623,0.142857,0.25,0.268293,0,0.333333,0.4
1,5,1.17746,-0.614203,-0.0141585,0.333333,0.125,0.255319,0,0.333333,0.5
0,5,1.36798,-0.524678,0.677128,0.5,0.166667,0.211268,0,0,0.6
0,5,-0.697635,-1.26986,-1.57802,0.125,0.1,0.166667,1,0.166667,0.7
0,5,0.227218,0.958131,0.891384,0.25,0.333333,0.325,0,0.333333,0.8
0,5,-0.853222,1.50228,0.0280958,0.111111,0.5,0.297297,0,0.166667,0.9
0,5,-0.21787,-1.20076,-0.705327,0.2,0.111111,0.142857,0,0.166667,1
0,6,-0.101878,-0.0662094,0.153167,0.166667,0.25,0.0568182,0,0,0.1
0,6,-0.619706,0.312958,0.171451,0.142857,0.333333,0.109756,0,0,0.2
0,6,-1.26936,-1.41768,-1.51691,0.111111,0.1,0.0879121,0,0,0.3
1,6,0.969603,1.0198,1.17754,0.333333,0.5,0.25,0,0,0.4
0,6,-0.806827,-0.228509,-0.615082,0.125,0.166667,0.125,0,0,0.5
0,6,-1.32476,-0.747587,-1.51691,0.1,0.111111,0.0707071,0,0,0.6
0,6,0.18425,-0.562207,-0.219317,0.25,0.125,0.131579,0,0,0.7
1,6,1.86723,2.37374,1.83355,1,1,0.115385,0,0,0.8
0,6,1.06118,-0.503238,0.385443,0.5,0.142857,0.0656934,0,0,0.9
0,6,0.0402646,-0.181066,0.147079,0.2,0.2,0.0877193,0,0,1
0,7,0.469787,1.12827,1.29229,0.333333,0.5,0.111111,0,0,0.1
0,7,-0.681407,-0.78857,-1.07797,0.111111,0.142857,0.0526316,0,0,0.2
0,7,-0.159226,0.327458,0.381918,0.2,0.25,0.0697674,0,0.166667,0.3
0,7,1.38472,-0.912149,0.221664,0.5,0.125,0.0189873,1,0,0.4
0,7,-0.383133,-0.066835,-0.0524136,0.166667,0.2,0.0689655,0,0,0.5
1,7,-1.68151,-1.30315,-1.85465,0.1,0.1,0.047619,0,0,0.6
0,7,-0.498915,-1.03439,-1.27931,0.125,0.111111,0.0645161,0,0,0.7
1,7,-0.424728,1.92303,0.665551,0.142857,1,0.12,1,0,0.8
0,7,1.99206,-0.101307,0.872993,1,0.166667,0.135593,1,0,0.9
0,7,-0.0176467,0.827636,0.829933,0.25,0.333333,0.0909091,0,0.166667,1
1,8,1.76082,1.09841,1.54437,1,0.333333,0.0561798,1,0.166667,0.1
0,8,-0.155913,-0.811826,-0.679217,0.166667,0.125,0.05,0,0,0.2
1,8,0.269264,-0.341868,0.384292,0.25,0.2,0.0714286,1,0.333333,0.3
0,8,-1.07596,1.9489,0.467095,0.125,1,0.0434783,1,0.333333,0.4
0,8,1.40869,-0.543654,0.634365,0.5,0.166667,0.0375,1,0.166667,0.5
0,8,-0.119824,-0.805031,-0.261471,0.2,0.142857,0.0465116,0,0,0.6
0,8,-1.27167,-0.861537,-1.67508,0.1,0.111111,0.0337079,0,0,0.7
0,8,-0.321335,-0.8815,-1.27577,0.142857,0.1,0.0344828,0,0,0.8
0,8,-1.19672,-0.121604,-0.438905,0.111111,0.25,0.0447761,0,0,0.9
0,8,0.702652,1.3197,1.30032,0.333333,0.5,0.148148,1,0.333333,1
0,9,-0.408768,-0.00660702,-0.047601,0.166667,0.2,0.0608696,0,0,0.1
0,9,-0.421627,0.0937677,-0.0357357,0.142857,0.25,0.0721649,1,0,0.2
0,9,-0.256364,-0.188975,-0.047601,0.2,0.166667,0.132075,1,0.333333,0.3
0,9,0.563247,-0.824604,0.023757,0.5,0.111111,0.116667,0,0,0.4
1,9,-0.961062,-1.4272,-1.51188,0.111111,0.1,0.0888889,1,0.333333,0.5
0,9,-0.493618,-0.369101,-0.801436,0.125,0.142857,0.0769231,1,0.333333,0.6
1,9,2.60524,2.38126,1.82746,1,1,0.189189,1,0,0.7
0,9,-0.145129,0.275697,0.753728,0.25,0.333333,0.101449,0,0,0.8
0,9,0.527281,0.85561,1.17363,0.333333,0.5,0.109589,0,0,0.9
0,9,-1.0092,-0.789852,-1.33432,0.1,0.125,0.0862069,0,0,1
0,10,-0.402232,-1.09797,-1.01024,0.2,0.1,0.132353,1,1.33333,0.1
0,10,0.295703,0.32046,0.990324,0.25,0.333333,0.101562,1,1.5,0.2
0,10,-0.823248,-0.397862,-1.03876,0.111111,0.166667,0.104651,1,1.33333,0.3
0,10,-0.603612,-0.0580413,-0.062543,0.166667,0.2,0.0649351,1,1.33333,0.4
1,10,0.57899,-0.568754,-0.01573,0.333333,0.125,0.28,1,1.33333,0.5
0,10,-0.810309,-0.529674,-1.05301,0.125,0.142857,0.142857,1,1.33333,0.6
0,10,-0.797427,0.0128497,-0.0469532,0.142857,0.25,0.12,1,1.33333,0.7
0,10,1.27292,-0.712798,0.0312143,0.5,0.111111,0.204545,1,0.5,0.8
0,10,-0.876839,0.328049,-0.195408,0.1,0.5,0.0909091,1,1.5,0.9
1,10,2.16606,2.70374,2.4011,1,1,0.242424,1,1.5,1
0,11,0.6005,-1.83775,-0.573832,0.25,0.1,0.075,0,0,0.1
0,11,-0.387086,-0.156786,-0.048037,0.2,0.166667,0.0898876,1,1,0.2
0,11,-0.865435,-0.780197,-1.17249,0.111111,0.125,0.127273,1,0.833333,0.3
1,11,1.83769,1.09749,1.40667,1,0.333333,0.193548,0,0,0.4
0,11,0.934842,1.21191,1.40667,0.333333,1,0.145161,1,0.833333,0.5
0,11,-1.00672,-0.608592,-1.16202,0.1,0.142857,0.0909091,1,0.833333,0.6
0,11,-0.794138,0.795492,-0.220592,0.125,0.25,0.148936,0,0,0.7
0,11,-0.788499,0.0342296,-0.048037,0.166667,0.2,0.132075,1,0.833333,0.8
0,11,-0.793634,-0.946077,-0.987957,0.142857,0.111111,0.0886076,1,0.833333,0.9
1,11,1.26248,1.19028,1.39961,0.5,0.5,0.163636,0,0.166667,1
0,12,-0.367303,0.063694,-0.22176,0.142857,0.2,0.104478,1,0,0.1
0,12,-0.0988782,-0.68235,-0.393584,0.2,0.125,0.0652174,1,0.166667,0.2
0,12,-1.048,-1.21122,-1.2586,0.111111,0.111111,0.0491803,0,0,0.3
0,12,-0.639144,-0.498833,-0.753091,0.125,0.142857,0.048,0,0,0.4
0,12,-1.39196,-1.52224,-1.58275,0.1,0.1,0.0526316,0,0,0.5
0,12,-0.175658,0.616725,0.337604,0.166667,0.333333,0.0657895,0,0,0.6
0,12,-0.0174441,0.409457,0.514108,0.25,0.25,0.0731707,0,0,0.7
1,12,2.00723,2.07345,1.71723,1,1,0.1125,0,0,0.8
1,12,0.212754,-0.0531761,0.337604,0.333333,0.166667,0.112903,1,0.166667,0.9
0,12,1.5184,0.804495,1.30325,0.5,0.5,0.125,0,0,1
0,13,0.153388,0.937269,0.771072,0.2,0.5,0.0731707,1,0.166667,0.1
0,13,-0.72821,-0.403175,-0.984507,0.111111,0.142857,0.0704225,0,0,0.2
0,13,0.283502,0.678356,0.550194,0.25,0.25,0.0961538,0,0,0.3
1,13,-0.433301,-1.98489,-1.15796,0.142857,0.1,0.0657895,1,0,0.4
1,13,1.27539,0.911702,1.18024,0.5,0.333333,0.0961538,1,0,0.5
0,13,-0.660605,-0.908624,-1.16839,0.125,0.111111,0.121212,0,0,0.6
0,13,-0.318969,-0.309292,-0.243155,0.166667,0.166667,0.08,0,0.166667,0.7
0,13,1.76722,1.47877,1.83776,1,1,0.0588235,1,0.166667,0.8
0,13,0.554434,-0.719544,-0.0120394,0.333333,0.125,0.0147368,0,0.166667,0.9
0,13,-1.89284,0.319427,-0.773217,0.1,0.2,0.0322581,0,0,1
0,14,1.62263,0.828209,1.11323,1,0.25,0.24,0,0,0.1
0,14,-0.214424,-0.846392,-0.403355,0.166667,0.142857,0.1,0,0,0.2
0,14,0.617608,0.179289,0.518947,0.333333,0.2,0.162791,0,0.166667,0.3
0,14,1.19428,1.43666,1.50694,0.5,1,0.145833,0,0,0.4
0,14,-0.310658,-0.90776,-0.751448,0.142857,0.125,0.106383,1,0.166667,0.5
1,14,-1.82033,-1.34358,-1.5793,0.1,0.1,0.0759494,1,0,0.6
0,14,-0.75647,-0.119621,-0.574804,0.125,0.166667,0.104167,1,0,0.7
0,14,-1.07947,-1.3013,-1.25586,0.111111,0.111111,0.0641026,1,0.166667,0.8
0,14,0.165006,0.95703,0.518947,0.2,0.333333,0.111111,0,0.166667,0.9
1,14,0.581836,1.11746,0.906696,0.25,0.5,0.148936,0,0,1
0,15,-1.0114,-0.446951,-0.752931,0.111111,0.166667,0.0923077,1,1.16667,0.1
0,15,0.279591,0.301079,0.717821,0.25,0.333333,0.137931,1,1.16667,0.2
1,15,1.27454,2.60606,1.53062,0.5,1,0.170213,1,1.33333,0.3
0,15,-0.06279,0.565817,0.730223,0.2,0.5,0.0888889,1,1.16667,0.4
0,15,-1.02667,-0.967494,-1.60412,0.1,0.1,0.153846,0,0,0.5
0,15,-0.786717,-0.513921,-0.589113,0.142857,0.142857,0.0972222,1,1.16667,0.6
0,15,-0.86426,-0.91542,-1.10649,0.125,0.111111,0.0679612,1,1.16667,0.7
0,15,-0.365183,-0.622169,-0.583836,0.166667,0.125,0.0701754,1,1.16667,0.8
0,15,0.434981,-0.297292,0.527101,0.333333,0.2,0.0666667,1,1.16667,0.9
1,15,2.12791,0.290293,1.13072,1,0.25,0.148936,1,0.166667,1
0,16,-0.8014,0.0636202,-0.386693,0.111111,0.25,0.160714,1,1.33333,0.1
0,16,-0.730671,-0.870018,-1.124,0.142857,0.1,0.126582,1,1.33333,0.2
0,16,-0.464078,-0.408387,-0.236025,0.166667,0.166667,0.135802,1,1.33333,0.3
1,16,2.56997,0.548988,1.36065,1,0.333333,0.23913,1,0,0.4
1,16,0.50424,2.54271,1.56885,0.5,1,0.30303,1,1.33333,0.5
0,16,0.439964,0.010587,0.540265,0.333333,0.2,0.173913,1,1.33333,0.6
0,16,-0.741916,-0.860362,-1.13413,0.125,0.111111,0.117647,1,1.33333,0.7
0,16,-0.320355,-0.771264,-0.230366,0.2,0.142857,0.129412,1,1.33333,0.8
0,16,-0.859951,-0.812615,-1.30249,0.1,0.125,0.115385,1,1.33333,0.9
0,16,0.404201,0.556742,0.943943,0.25,0.5,0.171875,1,1.33333,1
0,17,-0.0957027,-2.15304,-1.14967,0.2,0.1,0.0352113,0,0,0.1
0,17,-1.06401,0.314548,-0.891767,0.111111,0.2,0.0491803,1,0.5,0.2
0,17,-1.55128,-0.378891,-1.99514,0.1,0.125,0.0434783,0,0,0.3
1,17,-0.618081,0.518985,0.255509,0.142857,0.333333,0.130435,1,0.5,0.4
0,17,-0.127561,1.61494,1.18548,0.166667,1,0.0677966,1,0.5,0.5
1,17,1.03544,-0.341764,0.255509,0.333333,0.142857,0.0697674,1,0,0.6
0,17,1.62914,-0.884514,0.364887,1,0.111111,0.0684932,0,0,0.7
0,17,0.636625,-0.138166,0.228262,0.25,0.166667,0.0694444,0,0,0.8
0,17,1.05504,0.351058,1.44591,0.5,0.25,0.025974,1,0.166667,0.9
0,17,-0.899613,1.09684,0.301008,0.125,0.5,0.0588235,1,0.666667,1
0,18,-0.890321,0.030403,-0.975588,0.1,0.166667,0.0843373,1,0.166667,0.1
0,18,0.305448,0.684958,1.40493,0.5,0.5,0.180556,0,0,0.2
1,18,-0.161965,-2.35242,-0.576011,0.25,0.1,0.135593,0,0,0.3
0,18,-0.0121487,0.2028,0.560659,0.333333,0.2,0.136842,0,0,0.4
0,18,-0.319427,0.654686,0.560659,0.2,0.333333,0.166667,0,0.166667,0.5
0,18,-0.478877,-0.505801,-1.17694,0.111111,0.125,0.100917,0,0.166667,0.6
0,18,-0.447497,0.478438,-0.0362,0.142857,0.25,0.135135,0,0,0.7
0,18,-0.467341,-0.2472,-0.811848,0.125,0.142857,0.108434,1,0.166667,0.8
1,18,2.86117,1.62816,1.8512,1,1,0.202899,1,0,0.9
0,18,-0.389039,-0.574024,-0.800866,0.166667,0.111111,0.104167,0,0,1
0,19,-0.63086,-0.368904,-1.03372,0.125,0.142857,0.0952381,0,0,0.1
1,19,2.62864,-1.21164,0.31476,1,0.111111,0.173913,1,0,0.2
0,19,-1.09787,-1.15404,-1.72105,0.1,0.125,0.0454545,0,0,0.3
0,19,-0.300819,0.618699,0.447378,0.2,0.25,0.0961538,1,0.5,0.4
0,19,0.403794,0.533022,0.713879,0.333333,0.2,0.115385,0,0,0.5
0,19,-0.578708,1.12515,0.495506,0.142857,0.5,0.0952381,1,0.666667,0.6
1,19,-0.360326,1.20658,1.02262,0.166667,1,0.0746269,1,0.666667,0.7
0,19,-0.00338419,-1.70786,-0.733427,0.25,0.1,0.0847458,0,0,0.8
0,19,0.58898,0.86595,1.51378,0.5,0.333333,0.0869565,1,0.666667,0.9
0,19,-0.649445,0.0930428,-1.01973,0.111111,0.166667,0.0754717,1,0.5,1
0,20,-0.233001,0.0279545,-0.253579,0.142857,0.2,0.0792079,0,0.166667,0.1
0,20,-1.36991,-0.27631,-1.03483,0.1,0.166667,0.14,0,0,0.2
0,20,-0.231071,-0.390691,-0.462239,0.166667,0.142857,0.0990099,0,0,0.3
1,20,0.754973,-1.58671,-0.388978,0.333333,0.1,0.176471,0,0,0.4
0,20,0.361694,-0.649343,-0.234876,0.25,0.125,0.183673,0,0,0.5
0,20,-1.06395,0.0859737,-0.234876,0.125,0.25,0.0985915,0,0,0.6
0,20,0.80155,1.86214,1.72693,0.5,1,0.166667,1,0,0.7
0,20,-1.07984,-0.94649,-1.43919,0.111111,0.111111,0.125,0,0,0.8
1,20,2.09125,1.53053,1.72693,1,0.5,0.178571,1,0,0.9
0,20,-0.0316924,0.342955,0.594705,0.2,0.333333,0.121622,0,0.166667,1
0,21,-0.660371,-0.186744,-0.0361242,0.142857,0.25,0.0793651,0,0.166667,0.1
0,21,-0.709077,-0.567986,-0.99499,0.125,0.125,0.121951,0,0.166667,0.2
0,21,-0.224237,-0.225735,0.148184,0.2,0.2,0.0746269,0,0.5,0.3
0,21,2.57329,1.68789,1.62466,1,0.5,0.0609756,0,0,0.4
0,21,-0.212121,-0.473804,-0.0361242,0.25,0.142857,0.0705882,0,0.5,0.5
1,21,0.375193,-0.331442,0.363182,0.333333,0.166667,0.0337079,0,0,0.6
0,21,-0.725179,0.270206,-0.191586,0.111111,0.333333,0.0746269,0,0.666667,0.7
0,21,-0.391554,-1.03001,-0.79919,0.166667,0.111111,0.0595238,1,1,0.8
1,21,0.859881,1.99511,1.62466,0.5,1,0.114286,1,0.166667,0.9
0,21,-0.88582,-1.13748,-1.70267,0.1,0.1,0.0694444,0,0.166667,1
0,22,0.236692,0.65526,1.09269,0.5,0.333333,0.134328,1,0.666667,0.1
0,22,-0.0299857,-0.177361,0.322931,0.2,0.25,0.0952381,1,0.833333,0.2
1,22,2.79173,2.10501,1.70143,1,1,0.15,1,0.833333,0.3
0,22,0.0633818,1.42275,1.09269,0.333333,0.5,0.16,1,0.666667,0.4
0,22,-0.662734,-0.947969,-1.24703,0.111111,0.111111,0.0740741,0,0,0.5
1,22,-0.474937,-0.962787,-1.07206,0.142857,0.1,0.0921053,0,0,0.6
0,22,0.0125247,-0.194631,0.322931,0.25,0.2,0.0625,1,0.333333,0.7
0,22,-0.372321,-0.67456,-0.40052,0.166667,0.142857,0.109375,0,0,0.8
0,22,-0.539145,-0.697027,-0.916409,0.125,0.125,0.054878,1,0.166667,0.9
0,22,-1.02521,-0.52869,-0.896658,0.1,0.166667,0.078125,1,0.833333,1
1,23,2.22046,-0.999426,0.297434,1,0.111111,0.0816327,1,0,0.1
0,23,0.778779,-0.944684,-0.0145918,0.333333,0.125,0.0886076,0,0,0.2
0,23,-0.324979,0.249593,0.422752,0.2,0.25,0.048,1,0.666667,0.3
0,23,-0.639386,-0.220375,-0.510507,0.125,0.2,0.116279,1,0.666667,0.4
0,23,-1.00056,-1.21861,-1.84272,0.111111,0.1,0.0465116,1,0.666667,0.5
0,23,-0.623115,-0.354402,-0.294704,0.166667,0.166667,0.135135,0,0,0.6
1,23,-1.07918,0.790039,-0.441224,0.1,0.333333,0.075,1,0.666667,0.7
0,23,0.38679,1.32875,1.17862,0.25,0.5,0.0833333,0,0.166667,0.8
0,23,-0.63577,-0.55243,-0.753947,0.142857,0.142857,0.104167,1,0.666667,0.9
0,23,0.916959,1.92155,1.95889,0.5,1,0.116667,0,0.166667,1
0,24,-0.53411,-1.51668,-1.0521,0.166667,0.1,0.136364,0,0,0.1
0,24,-1.17801,-1.07121,-1.26924,0.111111,0.125,0.105263,1,0.166667,0.2
1,24,2.23087,0.548339,1.29703,1,0.25,0.131148,1,0.166667,0.3
0,24,0.743038,0.704983,1.28211,0.5,0.333333,0.126984,0,0,0.4
0,24,0.390964,1.58885,1.29703,0.25,1,0.0987654,0,0,0.5
0,24,0.497865,-0.00964837,0.392487,0.333333,0.166667,0.12069,1,0.166667,0.6
0,24,0.343666,0.363847,0.160141,0.2,0.2,0.12,1,0.166667,0.7
0,24,-0.68612,-1.43783,-1.26924,0.125,0.111111,0.142857,0,0,0.8
1,24,-0.609291,-0.171115,-0.675761,0.142857,0.142857,0.0909091,1,0.333333,0.9
0,24,-1.19887,1.00048,-0.162471,0.1,0.5,0.0564516,0,0,1
0,25,-0.69935,0.0144914,-0.335729,0.142857,0.2,0.236842,0,0,0.1
0,25,-0.859269,0.198348,-0.563556,0.111111,0.25,0.2,0,0,0.2
0,25,1.78047,-0.416722,0.286386,0.5,0.125,0.0628931,1,0,0.3
0,25,1.98075,-0.521489,0.347162,1,0.111111,0.138462,0,0,0.4
0,25,-0.0672121,-0.155077,0.217174,0.25,0.166667,0.166667,1,0,0.5
0,25,-0.0964859,2.01237,1.40415,0.2,1,0.257143,1,0.5,0.6
0,25,0.0478092,0.660793,1.66961,0.333333,0.5,0.217391,1,0.5,0.7
1,25,-0.759233,0.541588,-0.0170314,0.125,0.333333,0.214286,1,0.5,0.8
0,25,-0.984297,-0.170488,-1.63809,0.1,0.142857,0.173077,1,0.5,0.9
1,25,-0.343173,-2.16382,-1.37008,0.166667,0.1,0.130435,0,0,1
0,26,0.565039,-0.622327,-0.0218018,0.333333,0.125,0.229167,1,1.33333,0.1
0,26,-1.18344,0.504545,-1.03551,0.1,0.25,0.269841,1,1.33333,0.2
0,26,-0.887854,1.16982,0.0432631,0.111111,0.5,0.314815,1,1.33333,0.3
1,26,-0.678142,-0.366368,-0.783403,0.142857,0.166667,0.118421,1,0,0.4
0,26,-0.0291257,-0.674991,-0.721406,0.25,0.111111,0.2625,1,1.33333,0.5
1,26,2.11105,0.931508,2.5384,1,0.333333,0.27381,1,1.33333,0.6
0,26,1.33558,-1.82251,-0.270837,0.5,0.1,0.174242,1,1.33333,0.7
0,26,-0.800093,1.67467,0.767739,0.125,1,0.315789,1,1.33333,0.8
0,26,-0.0477432,-0.184394,0.266952,0.2,0.2,0.25,1,1.33333,0.9
0,26,-0.385273,-0.609964,-0.783403,0.166667,0.142857,0.211111,1,1.33333,1
1,27,1.46298,1.74077,1.23816,0.5,0.5,0.0487805,1,0,0.1
1,27,2.44033,2.23475,1.63145,1,1,0.0769231,1,0,0.2
0,27,-0.487914,-0.49694,0.857342,0.333333,0.333333,0,0,0,0.3
0,27,-0.487914,-0.49694,0.488429,0.25,0.25,0,0,0,0.4
0,27,-0.487914,-0.49694,0.130868,0.2,0.2,0,0,0,0.5
0,27,-0.487914,-0.49694,-0.215859,0.166667,0.166667,0,0,0,0.6
0,27,-0.487914,-0.49694,-0.552235,0.142857,0.142857,0,0,0,0.7
0,27,-0.487914,-0.49694,-0.878718,0.125,0.125,0,0,0,0.8
0,27,-0.487914,-0.49694,-1.19574,0.111111,0.111111,0,0,0,0.9
0,27,-0.487914,-0.49694,-1.5037,0.1,0.1,0,0,0,1
0,28,0.386205,-0.352277,0.3755,0.333333,0.166667,0.128205,1,0.666667,0.1
0,28,-0.108713,-0.952535,-0.414031,0.25,0.111111,0.153846,1,0.166667,0.2
0,28,-0.503647,-1.59577,-1.20347,0.142857,0.1,0.2,0,0,0.3
0,28,-0.856736,-0.0783833,-0.803604,0.1,0.2,0.0909091,0,0.166667,0.4
0,28,-0.295767,0.674632,0.578461,0.2,0.333333,0.119403,1,0.666667,0.5
1,28,-0.309524,-0.596358,-0.640724,0.166667,0.125,0.0865385,1,0.833333,0.6
1,28,2.64467,1.76138,1.90998,1,1,0.185185,1,0.666667,0.7
0,28,-0.784465,-0.000274052,-0.22846,0.125,0.25,0.0857143,0,0.166667,0.8
0,28,-0.808371,-0.392855,-1.0232,0.111111,0.142857,0.0987654,1,0,0.9
0,28,0.636343,1.53244,1.44954,0.5,0.5,0.272727,1,0.666667,1
0,29,-1.23039,-1.24782,-1.29919,0.111111,0.111111,0.138889,1,0.5,0.1
1,29,2.09496,1.33107,1.55894,1,0.5,0.311111,1,0.166667,0.2
0,29,-1.07128,-1.24588,-0.954741,0.125,0.125,0.0679612,1,0.5,0.3
0,29,-1.37516,-1.46732,-1.63379,0.1,0.1,0.147059,1,0.5,0.4
0,29,-0.203652,0.0101589,-0.417273,0.142857,0.166667,0.204082,1,0.5,0.5
0,29,0.851939,0.210127,0.743732,0.5,0.2,0.142857,1,0,0.6
0,29,0.250018,-0.237483,-0.0346629,0.25,0.142857,0.321429,0,0,0.7
0,29,0.102173,0.765004,0.348491,0.166667,0.333333,0.0723684,0,0,0.8
1,29,0.447746,0.436636,0.731101,0.333333,0.25,0.307692,0,0.166667,0.9
0,29,0.133644,1.44549,0.957395,0.2,1,0.217391,1,0.333333,1
0,30,-0.480005,-0.500126,-0.431512,0.166667,0.142857,0.105263,1,0.833333,0.1
0,30,1.55185,1.18427,1.39118,0.5,0.5,0.131148,1,0.333333,0.2
0,30,-0.493768,-0.379836,-0.431512,0.142857,0.166667,0.0649351,1,0.833333,0.3
0,30,-0.942202,-0.643073,-1.33843,0.1,0.125,0.0526316,1,1,0.4
0,30,-0.697142,-0.964212,-1.16542,0.125,0.111111,0.0769231,1,0.166667,0.5
1,30,0.580095,-1.67221,-0.363121,0.333333,0.1,0.0652174,1,0.166667,0.6
0,30,-0.46197,0.820556,0.756048,0.25,0.333333,0.0659341,0,0,0.7
0,30,-0.709472,-0.16254,-0.598239,0.111111,0.2,0.0641026,1,1,0.8
0,30,-0.463064,0.575836,0.347918,0.2,0.25,0.12,1,0.833333,0.9
1,30,2.11568,1.74134,1.83309,1,1,0.157895,1,0.833333,1
0,31,0.886919,0.258999,0.930452,0.333333,0.333333,0.109375,0,0,0.1
1,31,1.52119,2.28361,1.77058,1,1,0.24,1,0.166667,0.2
0,31,0.190739,-0.78068,-0.405811,0.2,0.125,0.0701754,1,0,0.3
0,31,0.791208,1.23491,0.936909,0.25,0.5,0.12766,0,0,0.4
0,31,-1.04935,-0.517944,-0.948515,0.111111,0.142857,0.0983607,0,0,0.5
1,31,-1.68735,-1.0654,-1.63193,0.1,0.1,0.0519481,1,0,0.6
0,31,1.00054,-0.491268,0.554736,0.5,0.166667,0.0769231,0,0,0.7
