item_id,neighbor_item,covisit_count,rank
9548,1798753,1,2
9548,15599562,1,3
9548,13731974,1,4
9548,3068960,1,5
9548,15709693,1,6
9548,8969798,1,7
9548,3800272,1,8
9548,598877,1,9
9548,8596793,1,10
1084,8365789,1,1
1084,5253763,1,2
1084,13864636,1,3
1084,3996570,1,4
1084,15839509,1,5
1084,15447151,1,6
1084,9557432,1,7
1084,3674014,1,8
1084,5694875,1,9
1084,11749082,1,10
4738,349828,1,1
4738,14412464,1,2
4738,13637581,1,3
4738,6240306,1,4
4738,11782784,1,5
4738,12120253,1,6
4738,11333887,1,7
4738,16991401,1,8
4738,11215719,1,9
4738,8505246,1,10
11322,8885431,1,1
11322,1996494,1,2
11322,10394914,1,3
11322,14272610,1,4
11322,14671214,1,5
11322,9090463,1,6
11322,10158683,1,7
11322,5219261,1,8
11322,12597173,1,9
11322,14833069,1,10
10258,4251059,4,1
10258,6902560,2,2
10258,11851743,2,3
10258,7898744,2,4
10258,8080954,2,5
10258,9728467,2,6
10258,647556,2,7
10258,5720644,2,8
10258,7266252,2,9
10258,882782,1,10
6999,3802836,1,1
6999,3640348,1,2
6999,13193256,1,3
6999,5561696,1,4
6999,1306955,1,5
6999,632315,1,6
6999,10053881,1,7
6999,12945812,1,8
6999,3902231,1,9
6999,7792417,1,10
8898,225775,1,1
8898,8764808,1,2
8898,8954840,1,3
8898,12781700,1,4
8898,337500,1,5
8898,1871171,1,6
8898,3900759,1,7
8898,6986092,1,8
8898,2811237,1,9
8898,12506250,1,10
16169,7808437,2,1
16169,13117491,1,2
16169,5634595,1,3
16169,811846,1,4
16169,9936315,1,5
16169,6905163,1,6
16169,9569158,1,7
16169,9677359,1,8
16169,14281536,1,9
16169,10152502,1,10
15277,10069072,1,1
15277,2014444,1,2
15277,8731780,1,3
15277,8371616,1,4
15277,10845176,1,5
15277,2697127,1,6
15277,14866846,1,7
15277,13576223,1,8
15277,9624701,1,9
15277,14426170,1,10
7351,12369829,1,1
7351,9607425,1,2
7351,11450613,1,3
7351,11934690,1,4
7351,3739396,1,5
7351,3950256,1,6
7351,9899740,1,7
7351,14340111,1,8
7351,2517515,1,9
7351,6996448,1,10
13149,9203204,1,1
13149,15353701,1,2
13149,6185685,1,3
13149,6226748,1,4
13149,6154891,1,5
13149,6385677,1,6
13149,953499,1,7
13149,1942423,1,8
13149,15829647,1,9
13149,2040786,1,10
17299,3578577,2,1
17299,3106756,1,2
17299,7352466,1,3
17299,9898523,1,4
17299,11607784,1,5
17299,7416481,1,6
17299,13688822,1,7
17299,1893843,1,8
17299,9397560,1,9
17299,14459387,1,10
5973,14206603,1,1
5973,6763021,1,2
5973,113781,1,3
5973,4870560,1,4
5973,4389594,1,5
5973,12068906,1,6
5973,5249771,1,7
5973,9903141,1,8
5973,15231324,1,9
5973,12801250,1,10
7240,11427816,1,1
7240,11151569,1,2
7240,12568799,1,3
7240,3038581,1,4
7240,5633695,1,5
7240,5192021,1,6
7240,7910872,1,7
7240,5109969,1,8
7240,4937958,1,9
7240,9324643,1,10
16965,1730854,1,1
16965,13785358,1,2
16965,688222,1,3
16965,11430938,1,4
16965,7691556,1,5
16965,2128387,1,6
16965,6572937,1,7
16965,8998343,1,8
16965,6736551,1,9
16965,7781165,1,10
1448,13532345,1,1
1448,12863588,1,2
1448,683335,1,3
1448,11815913,1,4
1448,2798673,1,5
1448,4423567,1,6
1448,6847359,1,7
1448,1535860,1,8
1448,9687519,1,9
1448,7541660,1,10
10246,14521820,1,1
10246,7349202,1,2
10246,8724646,1,3
10246,1912221,1,4
10246,3883402,1,5
10246,4294618,1,6
10246,3113668,1,7
10246,10874542,1,8
10246,2285045,1,9
10246,984479,1,10
6906,421625,1,1
6906,6112734,1,2
6906,4020828,1,3
6906,14480246,1,4
6906,2125216,1,5
6906,11204619,1,6
6906,15220954,1,7
6906,9063710,1,8
6906,15824584,1,9
6906,645637,1,10
665,13585051,1,1
665,8434184,1,2
665,14479001,1,3
665,3430128,1,4
665,9812709,1,5
665,14631232,1,6
665,13835920,1,7
665,8471889,1,8
665,1713454,1,9
665,5500484,1,10
15218,11367648,1,1
15218,2667219,1,2
15218,1500686,1,3
15218,1411697,1,4
15218,9146072,1,5
15218,2410095,1,6
15218,9784818,1,7
15218,3668334,1,8
15218,10941750,1,9
15218,13382158,1,10
4236,5054449,1,1
4236,15643726,1,2
4236,11173395,1,3
4236,13407012,1,4
4236,14034825,1,5
4236,652545,1,6
4236,15577925,1,7
4236,2645711,1,8
4236,1924117,1,9
4236,387288,1,10
9361,5973470,1,1
9361,3432005,1,2
9361,1236059,1,3
9361,783531,1,4
9361,11409007,1,5
9361,4404142,1,6
9361,2396205,1,7
9361,10378841,1,8
9361,9825257,1,9
9361,946836,1,10
14670,2484467,1,1
14670,5793668,1,2
14670,5471100,1,3
14670,5415473,1,4
14670,13520621,1,5
14670,307099,1,6
14670,4583556,1,7
14670,2215902,1,8
14670,10304825,1,9
14670,8541692,1,10
6277,7806035,1,1
6277,10642596,1,2
6277,7892090,1,3
6277,2307955,1,4
6277,7834360,1,5
6277,8278903,1,6
6277,5519834,1,7
6277,6955706,1,8
6277,13623126,1,9
6277,14774388,1,10
3296,10395556,1,1
3296,9234804,1,2
3296,3832039,1,3
3296,9235297,1,4
3296,3068672,1,5
3296,6636417,1,6
3296,14922338,1,7
3296,12851626,1,8
3296,14414797,1,9
3296,6475923,1,10
459,14922338,1,1
459,12851626,1,2
459,3296,1,3
459,14414797,1,4
459,6475923,1,5
459,15559875,1,6
459,13854144,1,7
459,13742653,1,8
459,2575722,1,9
459,20038,1,10
10682,5525762,1,1
10682,3417656,1,2
10682,11079194,1,3
10682,13470160,1,4
10682,15073865,1,5
10682,304099,1,6
10682,2478413,1,7
10682,1903909,1,8
10682,6912416,1,9
10682,5196812,1,10
7436,1147797,1,1
7436,5781884,1,2
7436,5756600,1,3
7436,7263749,1,4
7436,5007477,1,5
7436,12774136,1,6
7436,6528051,1,7
7436,14598218,1,8
7436,6156442,1,9
7436,10345159,1,10
6854,155680,1,1
6854,14865351,1,2
6854,1455217,1,3
6854,7068736,1,4
6854,12963622,1,5
6854,12035530,1,6
6854,4184942,1,7
6854,70718,1,8
6854,5208175,1,9
6854,6443465,1,10
955,3902153,1,1
955,5629262,1,2
955,6109126,1,3
955,3867628,1,4
955,15430223,1,5
955,7618020,1,6
955,1209616,1,7
955,2148361,1,8
955,4613186,1,9
955,4281051,1,10
3224,13123808,1,1
3224,11275147,1,2
3224,13971189,1,3
3224,9538546,1,4
3224,11003739,1,5
3224,5280050,1,6
3224,1415661,1,7
3224,6439599,1,8
3224,13570922,1,9
3224,5231126,1,10
8136,13778683,1,1
8136,15822283,1,2
8136,7153562,1,3
8136,5594321,1,4
8136,13667969,1,5
8136,12008028,1,6
8136,8325685,1,7
8136,3991389,1,8
8136,7640971,1,9
8136,14418487,1,10
8198,3329228,1,1
8198,1208858,1,2
8198,7840573,1,3
8198,12808236,1,4
8198,3329810,1,5
8198,14446019,1,6
8198,3516570,1,7
8198,6267642,1,8
8198,3949820,1,9
8198,3483996,1,10
14814,9970962,1,1
14814,2307418,1,2
14814,12797018,1,3
14814,12760046,1,4
14814,8382079,1,5
14814,8405235,1,6
14814,12856581,1,7
14814,7535005,1,8
14814,14820159,1,9
14814,14946366,1,10
14174,2682965,1,1
14174,8771989,1,2
14174,15656604,1,3
14174,15078964,1,4
14174,8242518,1,5
14174,6723407,1,6
14174,10469526,1,7
14174,11187206,1,8
14174,5305971,1,9
14174,2827468,1,10
16323,11521740,1,1
16323,11042014,1,2
16323,14307690,1,3
16323,15502384,1,4
16323,14499608,1,5
16323,1579592,1,6
16323,11561816,1,7
16323,4728556,1,8
16323,1634248,1,9
16323,5228977,1,10
5447,3652946,1,1
5447,1283912,1,2
5447,1973617,1,3
5447,7112810,1,4
5447,11996428,1,5
5447,13992100,1,6
5447,308219,1,7
5447,8790026,1,8
5447,13388764,1,9
5447,13241686,1,10
3413,6747006,1,1
3413,9806512,1,2
3413,5988482,1,3
3413,14469985,1,4
3413,13256351,1,5
3413,3270877,1,6
3413,12211204,1,7
3413,3143225,1,8
3413,14381679,1,9
3413,9674388,1,10
2853,2883842,1,1
2853,11177017,1,2
2853,7959453,1,3
2853,9761664,1,4
2853,14709547,1,5
2853,13235196,1,6
2853,13686446,1,7
2853,14618050,1,8
2853,3332116,1,9
2853,6239604,1,10
7017,15306059,1,1
7017,14488323,1,2
7017,517006,1,3
7017,14401259,1,4
7017,15152149,1,5
7017,11715747,1,6
7017,7622176,1,7
7017,3984585,1,8
7017,14974629,1,9
7017,12278015,1,10
7246,10601965,1,1
7246,10750310,1,2
7246,7899501,1,3
7246,9043718,1,4
7246,10195538,1,5
7246,2097237,1,6
7246,3894222,1,7
7246,8155214,1,8
7246,1260542,1,9
7246,4471126,1,10
15251,5996159,1,1
15251,15331180,1,2
15251,14396612,1,3
15251,14229174,1,4
15251,5415387,1,5
15251,1487743,1,6
15251,6264852,1,7
15251,9543573,1,8
15251,9366435,1,9
15251,1714326,1,10
10586,10275757,1,1
10586,10663366,1,2
10586,3148226,1,3
10586,11930632,1,4
10586,10150227,1,5
10586,9997028,1,6
10586,2251629,1,7
10586,8204623,1,8
10586,7278596,1,9
10586,14192565,1,10
12629,83434,1,1
12629,1991922,1,2
12629,13918742,1,3
12629,6962055,1,4
12629,2734605,1,5
12629,14096501,1,6
12629,8443998,1,7
12629,11012667,1,8
12629,1688172,1,9
12629,5018828,1,10
8627,12787048,1,1
8627,8712842,1,2
8627,14375975,1,3
8627,1776936,1,4
8627,12014953,1,5
8627,12055245,1,6
8627,3872824,1,7
8627,4881296,1,8
8627,11862035,1,9
8627,12681054,1,10
4105,1963312,1,1
4105,8448697,1,2
4105,7792035,1,3
4105,519530,1,4
4105,9854948,1,5
4105,10687626,1,6
4105,6375576,1,7
4105,15210456,1,8
4105,3624977,1,9
4105,8042351,1,10
1808,6321565,1,1
1808,15574948,1,2
1808,6446030,1,3
1808,14197715,1,4
1808,12396578,1,5
1808,2244331,1,6
1808,3491591,1,7
1808,4047626,1,8
1808,10338096,1,9
1808,13383095,1,10
17409,153808,1,1
17409,14763371,1,2
17409,160823,1,3
17409,2205377,1,4
17409,7403439,1,5
17409,2926651,1,6
17409,57171,1,7
17409,3879989,1,8
17409,14093470,1,9
17409,14536632,1,10
13211,12013171,1,1
13211,4427669,1,2
13211,12144687,1,3
13211,12754047,1,4
13211,14627646,1,5
13211,968625,1,6
13211,11687817,1,7
13211,4864876,1,8
13211,9209718,1,9
13211,10846946,1,10
4134,15202968,1,1
4134,10904618,1,2
4134,2074645,1,3
4134,10570681,1,4
4134,9043566,1,5
4134,14368284,1,6
4134,2202258,1,7
4134,2918641,1,8
4134,4704308,1,9
4134,253937,1,10
13817,15710656,1,1
13817,16225165,1,2
13817,13133972,1,3
13817,9624946,1,4
13817,15920355,1,5
13817,16593129,1,6
13817,2736223,1,7
13817,15895176,1,8
13817,16092996,1,9
13817,656721,1,10
5532,14208271,1,1
5532,3564937,1,2
5532,5313214,1,3
5532,3723251,1,4
5532,131576,1,5
5532,5277378,1,6
5532,2422963,1,7
5532,6290196,1,8
5532,2614213,1,9
5532,10623007,1,10
5211,5082634,1,1
5211,2910249,1,2
5211,7750593,1,3
5211,3919306,1,4
5211,12827325,1,5
5211,10552792,1,6
5211,15722228,1,7
5211,6501219,1,8
5211,15792857,1,9
5211,3123694,1,10
7192,11732012,1,1
7192,9952803,1,2
7192,14381869,1,3
7192,740696,1,4
7192,11334143,1,5
7192,6756028,1,6
7192,5867291,1,7
7192,7203711,1,8
7192,954248,1,9
7192,4738756,1,10
8984,3487782,1,1
8984,11982607,1,2
8984,769997,1,3
8984,9021688,1,4
8984,5834182,1,5
8984,5789456,1,6
8984,303900,1,7
8984,9629161,1,8
8984,7761984,1,9
8984,2436844,1,10
16718,12962251,1,1
16718,9899740,1,2
16718,11793654,1,3
16718,1150251,1,4
16718,11016811,1,5
16718,10478302,1,6
16718,349303,1,7
16718,7882815,1,8
16718,8107541,1,9
16718,10050373,1,10
2152,12145769,1,1
2152,8891530,1,2
2152,3205092,1,3
2152,5290256,1,4
2152,11737395,1,5
2152,14187350,1,6
2152,6677760,1,7
2152,14795225,1,8
2152,4308362,1,9
2152,10718011,1,10
7745,14256256,1,1
7745,6272378,1,2
7745,7582930,1,3
7745,3001953,1,4
7745,10876714,1,5
7745,5549647,1,6
7745,15089125,1,7
7745,5898711,1,8
7745,3866541,1,9
7745,13018784,1,10
10465,993417,1,1
10465,12709196,1,2
10465,5693627,1,3
10465,8854619,1,4
10465,9529370,1,5
10465,8997326,1,6
10465,10935030,1,7
10465,15691044,1,8
10465,2299773,1,9
10465,15595379,1,10
10910,4894513,1,1
10910,7075569,1,2
10910,148194,1,3
10910,12732420,1,4
10910,2823424,1,5
10910,13993417,1,6
10910,15012266,1,7
10910,7054723,1,8
10910,7704630,1,9
10910,9441088,1,10
15611,5201493,1,1
15611,7059825,1,2
15611,1169011,1,3
15611,5802740,1,4
15611,1400440,1,5
15611,15146509,1,6
15611,8724646,1,7
15611,14129646,1,8
15611,1629615,1,9
15611,11223797,1,10
16064,1172566,2,1
16064,64028,1,2
16064,10684494,1,3
16064,6584229,1,4
16064,12085203,1,5
16064,13366025,1,6
16064,6305102,1,7
16064,10918063,1,8
16064,6514413,1,9
16064,7125581,1,10
10234,9957884,1,1
10234,15203249,1,2
10234,7722474,1,3
10234,8650490,1,4
10234,10680979,1,5
10234,14552129,1,6
10234,9658011,1,7
10234,6476514,1,8
10234,8277371,1,9
10234,3693298,1,10
12506,3352908,1,1
12506,16797895,1,2
12506,2740225,1,3
12506,82681,1,4
12506,7047961,1,5
12506,11802554,1,6
12506,14302399,1,7
12506,10350765,1,8
12506,11896018,1,9
12506,14437675,1,10
6290,15365282,1,1
6290,10031535,1,2
6290,11170952,1,3
6290,14860220,1,4
6290,7673981,1,5
6290,10123572,1,6
6290,45964,1,7
6290,1578442,1,8
6290,1844822,1,9
6290,11018094,1,10
5353,12869217,1,1
5353,4144105,1,2
5353,7900312,1,3
5353,5610130,1,4
5353,11122672,1,5
5353,2618741,1,6
5353,7336386,1,7
5353,5475687,1,8
5353,14915095,1,9
5353,3696794,1,10
6192,1779418,1,1
6192,6859225,1,2
6192,11346555,1,3
6192,81879,1,4
6192,80012,1,5
6192,6298053,1,6
6192,10154594,1,7
6192,3776952,1,8
6192,4077217,1,9
6192,6176386,1,10
9515,11739769,1,1
9515,2056964,1,2
9515,14650107,1,3
9515,13465492,1,4
9515,8943112,1,5
9515,4377435,1,6
9515,15741089,1,7
9515,12466340,1,8
9515,14920401,1,9
9515,11252823,1,10
9846,11326783,1,1
9846,6809121,1,2
9846,13617285,1,3
9846,5528370,1,4
9846,10692845,1,5
9846,2592235,1,6
9846,3965661,1,7
9846,8161345,1,8
9846,3899215,1,9
9846,2103796,1,10
8726,6908857,1,1
8726,8422296,1,2
8726,15077764,1,3
8726,1149339,1,4
8726,10923679,1,5
8726,13561071,1,6
8726,904723,1,7
8726,5007795,1,8
8726,2169997,1,9
8726,3626344,1,10
15483,12571004,1,1
15483,5417147,1,2
15483,171837,1,3
15483,14306987,1,4
15483,10202887,1,5
15483,4491137,1,6
15483,12136145,1,7
15483,10156407,1,8
15483,9454492,1,9
15483,3692584,1,10
15233,4229196,1,1
15233,11199814,1,2
15233,8454912,1,3
15233,1826515,1,4
15233,12757548,1,5
15233,6393743,1,6
15233,12176863,1,7
15233,12171799,1,8
15233,12992019,1,9
15233,5385554,1,10
1060,9091276,1,1
1060,1260017,1,2
1060,4633854,1,3
1060,8118704,1,4
1060,14603565,1,5
1060,1344104,1,6
1060,2768627,1,7
1060,3098942,1,8
1060,5643406,1,9
1060,8074195,1,10
15282,9606082,1,1
15282,13340556,1,2
15282,9687519,1,3
15282,8051354,1,4
15282,377882,1,5
15282,14185164,1,6
15282,1473875,1,7
15282,4482052,1,8
15282,2910249,1,9
15282,14882931,1,10
16575,612860,1,1
16575,13340556,1,2
16575,11936687,1,3
16575,9314283,1,4
16575,14557174,1,5
16575,5640379,1,6
16575,10593664,1,7
16575,1376370,1,8
16575,6244752,1,9
16575,10505089,1,10
14743,9694555,1,1
14743,13880554,1,2
14743,1238518,1,3
14743,15145224,1,4
14743,8294412,1,5
14743,7281739,1,6
14743,13415331,1,7
14743,13176305,1,8
14743,7997150,1,9
14743,1655674,1,10
6389,2514266,1,1
6389,13869132,1,2
6389,6579456,1,3
6389,13707925,1,4
6389,8169018,1,5
6389,12420892,1,6
6389,5072681,1,7
6389,13670275,1,8
6389,6233075,1,9
6389,15221563,1,10
17264,59116,1,1
17264,5248472,1,2
17264,1466670,1,3
17264,4707371,1,4
17264,3547804,1,5
17264,581997,1,6
17264,4846062,1,7
17264,9333973,1,8
17264,614211,1,9
17264,1566889,1,10
11036,2421108,1,1
11036,12899909,1,2
11036,15683708,1,3
11036,6704968,1,4
11036,10736117,1,5
11036,13181867,1,6
11036,14331021,1,7
11036,9266505,1,8
11036,7907734,1,9
11036,2477105,1,10
17388,12944818,1,1
17388,6915514,1,2
17388,13233800,1,3
17388,1685701,1,4
17388,14903138,1,5
17388,2467145,1,6
17388,5243542,1,7
17388,6858565,1,8
17388,16033803,1,9
17388,7986437,1,10
6531,2189750,1,1
6531,3589622,1,2
6531,10651998,1,3
6531,11947011,1,4
6531,4275621,1,5
6531,2655747,1,6
6531,12464882,1,7
6531,7511582,1,8
6531,12415308,1,9
6531,13078987,1,10
9683,3730901,1,1
9683,7583918,1,2
9683,7640827,1,3
9683,10338958,1,4
9683,481729,1,5
9683,8004804,1,6
9683,10333599,1,7
9683,4741640,1,8
9683,8605582,1,9
9683,8334056,1,10
1308,577983,1,1
1308,5800257,1,2
1308,7292734,1,3
1308,10719407,1,4
1308,9743483,1,5
1308,1630486,1,6
1308,14467269,1,7
1308,7606831,1,8
1308,13290681,1,9
1308,5575981,1,10
15449,6758370,1,1
15449,7359377,1,2
15449,12528674,1,3
15449,12307771,1,4
15449,28669,1,5
15449,6567125,1,6
15449,7922931,1,7
15449,582438,1,8
15449,11472226,1,9
15449,7234806,1,10
4989,8605985,1,1
4989,2341272,1,2
4989,14429614,1,3
4989,9622975,1,4
4989,2903432,1,5
4989,10944347,1,6
4989,11425634,1,7
4989,831123,1,8
4989,11727129,1,9
4989,3510256,1,10
3294,14059264,1,1
3294,10112103,1,2
3294,14866039,1,3
3294,3166858,1,4
3294,15089799,1,5
3294,12662152,1,6
3294,14794582,1,7
3294,11285196,1,8
3294,5082634,1,9
3294,12827219,1,10
12528,9189001,1,1
12528,11329944,1,2
12528,10404360,1,3
12528,13797762,1,4
12528,12227569,1,5
12528,15854879,1,6
12528,7674578,1,7
12528,6641473,1,8
12528,8659768,1,9
12528,6153022,1,10
11662,1360858,1,1
11662,13777592,1,2
11662,2495503,1,3
11662,4626972,1,4
11662,11035026,1,5
11662,9902260,1,6
11662,12474186,1,7
11662,12128140,1,8
11662,5959838,1,9
11662,9402091,1,10
12786,12442521,1,1
12786,6870629,1,2
12786,455423,1,3
12786,13040515,1,4
12786,12927998,1,5
12786,4046750,1,6
12786,3372684,1,7
12786,15673247,1,8
12786,49264,1,9
12786,10968867,1,10
13653,14221597,1,1
13653,10706078,1,2
13653,2377040,1,3
13653,11600504,1,4
13653,14496558,1,5
13653,8181992,1,6
13653,1576817,1,7
13653,11656154,1,8
13653,13781247,1,9
13653,4723354,1,10
6557,13246300,1,1
6557,8502542,1,2
6557,8240810,1,3
6557,12568820,1,4
6557,7265339,1,5
6557,1018730,1,6
6557,14301920,1,7
6557,1426423,1,8
6557,5744454,1,9
6557,2613874,1,10
11804,7783515,1,1
11804,12643425,1,2
11804,12421779,1,3
11804,7349463,1,4
11804,11243354,1,5
11804,989452,1,6
11804,11293316,1,7
11804,2223719,1,8
11804,5141833,1,9
11804,3981022,1,10
2224,3532871,1,1
2224,476038,1,2
2224,8557858,1,3
2224,5453411,1,4
2224,14191786,1,5
2224,9389613,1,6
2224,6586285,1,7
2224,13020441,1,8
2224,2712944,1,9
2224,14380853,1,10
154,1098073,1,1
154,12573378,1,2
154,7390708,1,3
154,6848043,1,4
154,9604824,1,5
154,13143670,1,6
154,7477959,1,7
154,13055020,1,8
154,9171256,1,9
154,10838816,1,10
6308,15837842,1,1
6308,1277002,1,2
6308,15491889,1,3
6308,10882842,1,4
6308,11780200,1,5
6308,2433347,1,6
6308,6286844,1,7
6308,7694147,1,8
6308,1238083,1,9
6308,10883148,1,10
8989,4483395,1,1
8989,13903469,1,2
8989,1230055,1,3
8989,11568607,1,4
8989,4522619,1,5
8989,3815236,1,6
8989,11203651,1,7
8989,11323445,1,8
8989,2863970,1,9
8989,14045150,1,10
4178,3895186,1,1
4178,11077787,1,2
4178,3137087,1,3
4178,13277754,1,4
4178,5157870,1,5
4178,9077100,1,6
4178,10530940,1,7
4178,13835357,1,8
4178,8019183,1,9
4178,10161870,1,10
6704,4040110,1,1
6704,10457817,1,2
6704,702202,1,3
6704,10690598,1,4
6704,10621142,1,5
6704,9229406,1,6
6704,7128851,1,7
6704,2636352,1,8
6704,5788,1,9
6704,11034398,1,10
5788,10457817,1,1
5788,702202,1,2
5788,10690598,1,3
5788,10621142,1,4
5788,9229406,1,5
5788,7128851,1,6
5788,2636352,1,7
5788,6704,1,8
5788,11034398,1,9
5788,1097446,1,10
5213,14556215,1,1
5213,4480317,1,2
5213,3559697,1,3
5213,3146239,1,4
5213,6764426,1,5
5213,4232294,1,6
5213,11204421,1,7
5213,9763614,1,8
5213,15779926,1,9
5213,659392,1,10
13509,15223653,1,1
13509,10630217,1,2
13509,13712786,1,3
13509,13567047,1,4
13509,6318608,1,5
13509,2340641,1,6
13509,2971161,1,7
13509,7676958,1,8
13509,14455027,1,9
13509,14018590,1,10
4650,13672519,1,1
4650,12014284,1,2
4650,1980517,1,3
4650,695528,1,4
4650,8563712,1,5
4650,7730034,1,6
4650,11047014,1,7
4650,5041597,1,8
4650,11107166,1,9
4650,3091421,1,10
10280,15030969,1,1
10280,7496723,1,2
10280,9623367,1,3
10280,13923346,1,4
10280,11704511,1,5
10280,13528666,1,6
10280,8508773,1,7
10280,13214762,1,8
10280,4984480,1,9
10280,1941792,1,10
13543,7714249,1,1
13543,2110857,1,2
13543,8335032,1,3
13543,5012067,1,4
13543,480677,1,5
13543,8741200,1,6
13543,4639590,1,7
13543,13069003,1,8
13543,7704603,1,9
13543,4874974,1,10
2477,4595616,1,1
2477,4128369,1,2
2477,8621177,1,3
2477,15219818,1,4
2477,15143023,1,5
2477,11420630,1,6
2477,13378431,1,7
2477,12400804,1,8
2477,4584655,1,9
2477,6975244,1,10
10841,14845604,1,1
